資源彙整機關,鄉鎮市區,村里,中心名稱,辦理單位,連絡電話,地址,相關網址,X坐標,Y坐標,備註,最後更新時間
桃園市政府,八德區,大明里,大明社區活動中心,八德區公所社會課,(03)3683155分機172,桃園市八德區大明里興隆街 11巷8號,,,,,20181024
桃園市政府,八德區,大福里,正福社區活動中心,八德區公所社會課,(03)3683155分機172,桃園市八德區大福里大福街29號,,,,,20181024
桃園市政府,平鎮區,東社里,東社社區活動中心,平鎮區公所社會課,(03)4572105分機2225,桃園市平鎮區東社里圳南路50巷23號,,,,,20181024
桃園市政府,平鎮區,東勢里,東勢社區活動中心,平鎮區公所社會課,(03)4572105分機2225,桃園市平鎮區東勢里金陵路5段55號,,,,,20181024
桃園市政府,平鎮區,北貴里,獅子林社區活動中心,平鎮區公所社會課,(03)4572105分機2225,桃園市平鎮區北貴里大仁街46號,,,,,20181024
桃園市政府,平鎮區,北興里,北興社區活動中心,平鎮區公所社會課,(03)4572105分機2225,桃園市平鎮區北興里金陵路2段353號,,,,,20181024
桃園市政府,平鎮區,北華里,北勢社區活動中心,平鎮區公所社會課,(03)4572105分機2225,桃園市平鎮區北華里振平街153號,,,,,20181024
桃園市政府,平鎮區,福林里,山峰社區活動中心,平鎮區公所社會課,(03)4572105分機2225,桃園市平鎮區福林里山子頂6號,,,,,20181024
桃園市政府,平鎮區,福林里,山峰社區長壽俱樂部,平鎮區公所社會課,(03)4572105分機2225,桃園市平鎮區福林里東豐路100巷16號,,,,,20181024
桃園市政府,平鎮區,湧安里,山子頂社區活動中心,平鎮區公所社會課,(03)4572105分機2225,桃園市平鎮區湧安里麻園街2號1樓,,,,,20181024
桃園市政府,平鎮區,高雙里,高連社區活動中心,平鎮區公所社會課,(03)4572105分機2225,桃園市平鎮區高雙里高雙路80號,,,,,20181024
桃園市政府,平鎮區,復興里,廣隆社區活動中心,平鎮區公所社會課,(03)4572105分機2225,桃園市平鎮區復興里育達路二段94號1樓、B1,,,,,20181024
桃園市政府,楊梅區,三湖里,三湖社區活動中心,楊梅區公所社會課,(03)4783683分機139,桃園市楊梅區三湖里楊湖路二段491號,,,,,20181024
桃園市政府,楊梅區,上田里,上田社區活動中心,楊梅區公所社會課,(03)4783683分機139,桃園市楊梅區上田里和平路87號,,,,,20181024
桃園市政府,楊梅區,上湖里,上湖社區活動中心,楊梅區公所社會課,(03)4783683分機139,桃園市楊梅區上湖里楊湖路三段679之1號,,,,,20181024
桃園市政府,楊梅區,大同里,大合社區活動中心,楊梅區公所社會課,(03)4783683分機139,桃園市楊梅區大同里自立街2號,,,,,20181024
桃園市政府,楊梅區,東流里,大東社區活動中心,楊梅區公所社會課,(03)4783683分機139,桃園市楊梅區東流里甡甡路440號,,,,,20181024
桃園市政府,楊梅區,水美里,水美社區活動中心,楊梅區公所社會課,(03)4783683分機139,桃園市楊梅區水美里楊新路二段2之1號,,,,,20181024
桃園市政府,楊梅區,金龍里,金龍社區活動中心,楊梅區公所社會課,(03)4783683分機139,桃園市楊梅區金龍里26鄰中興路236之1號,,,,,20181024
桃園市政府,楊梅區,員本里,員本社區活動中心,楊梅區公所社會課,(03)4783683分機139,桃園市楊梅區員本里2鄰員本路532之1號,,,,,20181024
桃園市政府,楊梅區,高山里,高山社區活動中心,楊梅區公所社會課,(03)4783683分機139,桃園市楊梅區高山里10鄰幼獅路三段168號,,,,,20181024
桃園市政府,楊梅區,高榮里,高榮社區活動中心,楊梅區公所社會課,(03)4783683分機139,桃園市楊梅區高榮里幼獅路二段390之2號,,,,,20181024
桃園市政府,楊梅區,富豐里,富岡社區活動中心,楊梅區公所社會課,(03)4783683分機139,桃園市楊梅區富豐里008鄰新明街347巷2弄1號,,,,,20181024
桃園市政府,楊梅區,瑞原里,瑞原社區活動中心,楊梅區公所社會課,(03)4783683分機139,桃園市楊梅區瑞原里民豐路506之1號,,,,,20181024
桃園市政府,楊梅區,瑞塘里,瑞塘社區活動中心,楊梅區公所社會課,(03)4783683分機139,桃園市楊梅區瑞塘里四維二路20號,,,,,20181024
桃園市政府,楊梅區,豐野里,豐野社區活動中心,楊梅區公所社會課,(03)4783683分機139,桃園市楊梅區豐野里信義街83巷25弄23號,,,,,20181024
桃園市政府,楊梅區,永寧里,永揚社區活動中心,楊梅區公所社會課,(03)4783683分機139,桃園市楊梅區永寧里老莊路2-1號,,,,,20181024
桃園市政府,楊梅區,永寧里,永揚綜合社會福利中心,楊梅區公所社會課,(03)4783683分機139,桃園市楊梅區永寧里校前路324巷148號,,,,,20181024
桃園市政府,大溪區,新峰里,新峰社區活動中心,大溪區公所社會課,(03)3882201分機229,桃園市大溪區復興路二段758巷48號,,,,,20181024
桃園市政府,大溪區,復興里,復興社區活動中心,大溪區公所社會課,(03)3882201分機229,桃園市大溪區復興路二段275巷16號,,,,,20181024
桃園市政府,大溪區,福安里,三層社區活動中心,大溪區公所社會課,(03)3882201分機229,桃園市大溪區三層老街30號,,,,,20181024
桃園市政府,大溪區,美華里,美華社區活動中心,大溪區公所社會課,(03)3882201分機229,桃園市大溪區美山路一段660號,,,,,20181024
桃園市政府,大溪區,一心里,下田心社區活動中心,大溪區公所社會課,(03)3882201分機229,桃園市大溪區民權東路94巷29號,,,,,20181024
桃園市政府,大溪區,福仁里,興福社區活動中心,大溪區公所社會課,(03)3882201分機229,桃園市大溪區仁愛路11號,,,,,20181024
桃園市政府,大溪區,一德里,一德社區活動中心,大溪區公所社會課,(03)3882201分機229,桃園市大溪區康莊路247、251、253號3樓,,,,,20181024
桃園市政府,大溪區,瑞源里,瑞源社區活動中心,大溪區公所社會課,(03)3882201分機229,桃園市大溪區石園路760巷120號,,,,,20181024
桃園市政府,大溪區,三元里,三元社區活動中心,大溪區公所社會課,(03)3882201分機229,桃園市大溪區員林路二段450號,,,,,20181024
桃園市政府,大溪區,仁愛里,仁愛社區活動中心,大溪區公所社會課,(03)3882201分機229,桃園市大溪區埔頂街13號,,,,,20181024
桃園市政府,大溪區,南興里,南興社區活動中心,大溪區公所社會課,(03)3882201分機229,桃園市大溪區仁和路二段190巷29號,,,,,20181024
桃園市政府,大溪區,僑愛里,僑愛社區活動中心,大溪區公所社會課,(03)3882201分機229,桃園市大溪區僑愛里僑愛一街,,,,,20181024
桃園市政府,大溪區,中新里,中興社區活動中心,大溪區公所社會課,(03)3882201分機229,桃園市大溪區大鶯路1450巷26號,,,,,20181024
桃園市政府,大溪區,瑞興里,瑞興社區活動中心,大溪區公所社會課,(03)3882201分機229,桃園市大溪區大鶯路936號,,,,,20181024
桃園市政府,大溪區,月眉里,月眉社區活動中心,大溪區公所社會課,(03)3882201分機229,桃園市大溪區月眉里15鄰月眉105號,,,,,20181024
桃園市政府,大溪區,仁武里,綜合活動中心,大溪區公所社會課,(03)3882201分機229,桃園市大溪區公園路30號,,,,,20181024
桃園市政府,大溪區,仁善里,仁善社區活動中心,大溪區公所社會課,(03)3882201分機229,桃園市大溪區仁德街19號,,,,,20181024
桃園市政府,大溪區,仁和里,仁和社區活動中心,大溪區公所社會課,(03)3882201分機229,桃園市大溪區仁和七街159號,,,,,20181024
桃園市政府,大溪區,義和里,內柵社區活動中心,大溪區公所社會課,(03)3882201分機229,桃園市大溪區安和路36號3樓,,,,,20181024
桃園市政府,大溪區,福安里,頭寮社區活動中心,大溪區公所社會課,(03)3882201分機229,桃園市大溪區復興路一段755號,,,,,20181024
桃園市政府,龜山區,大同里,大同社區活動中心,龜山區公所社會課,(03)3203711分機808,桃園市龜山區明德路203巷10號,,,,,20181024
桃園市政府,龜山區,大坑里,大坑社區活動中心,龜山區公所社會課,(03)3203711分機808,桃園市龜山區大坑路一段1003巷18號,,,,,20181024
桃園市政府,龜山區,大崗里,大崗社區活動中心,龜山區公所社會課,(03)3203711分機808,桃園市龜山區忠義路二段491號,,,,,20181024
桃園市政府,龜山區,山德里,山德社區活動中心,龜山區公所社會課,(03)3203711分機808,桃園市龜山區頂興路2巷14號,,,,,20181024
桃園市政府,龜山區,公西里,公西社區活動中心,龜山區公所社會課,(03)3203711分機808,桃園市龜山區復興街250巷1-1號,,,,,20181024
桃園市政府,龜山區,兔坑里  ,兔坑社區活動中心   ,龜山區公所社會課,(03)3203711分機808,桃園市龜山區大同路918號,,,,,20181024
桃園市政府,龜山區,幸福里,幸福社區活動中心,龜山區公所社會課,(03)3203711分機808,桃園市龜山區幸福一街38-1號,,,,,20181024
桃園市政府,龜山區,南上里,南上社區活動中心,龜山區公所社會課,(03)3203711分機808,桃園市龜山區民生北路一段386-1號,,,,,20181024
桃園市政府,龜山區,迴龍里,迴龍社區活動中心,龜山區公所社會課,(03)3203711分機808,桃園市龜山區宏慶街34巷48號之1,,,,,20181024
桃園市政府,龜山區,新路里,新路社區活動中心,龜山區公所社會課,(03)3203711分機808,桃園市龜山區永安街77號,,,,,20181024
桃園市政府,龜山區,樂善里,樂善社區活動中心,龜山區公所社會課,(03)3203711分機808,桃園市龜山區樂安街7-1號,,,,,20181024
桃園市政府,龜山區,龍華里,龍華社區活動中心,龜山區公所社會課,(03)3203711分機808,桃園市龜山區萬壽路一段422巷22弄43-1號,,,,,20181024
桃園市政府,龜山區,龍壽里,龍壽社區活動中心,龜山區公所社會課,(03)3203711分機808,桃園市龜山區龍校街30號,,,,,20181024
桃園市政府,龜山區,龜山里,龜山社區活動中心,龜山區公所社會課,(03)3203711分機808,桃園市龜山區中興路一段50號,,,,,20181024
桃園市政府,龜山區,嶺頂里,嶺頂社區活動中心,龜山區公所社會課,(03)3203711分機808,桃園市龜山區嶺頂村2鄰西嶺頂24號,,,,,20181024
桃園市政府,龜山區,舊路里,舊路社區活動中心,龜山區公所社會課,(03)3203711分機808,桃園市龜山區振興路1278巷29號,,,,,20181024
桃園市政府,龜山區,精忠里,精忠社區活動中心,龜山區公所社會課,(03)3203711分機808,桃園市龜山區光峰路111巷12-1號,,,,,20181024
桃園市政府,蘆竹區,大竹里,大竹社區活動中心,蘆竹區公所社會課,(03)3520000分機176,桃園市蘆竹區大竹里南竹路五段210巷1弄1號,,,,,20181024
桃園市政府,蘆竹區,海湖里,海湖社區活動中心,蘆竹區公所社會課,(03)3520000分機176,桃園市蘆竹區海湖里海湖東路217號,,,,,20181024
桃園市政府,蘆竹區,宏竹里,宏竹社區活動中心,蘆竹區公所社會課,(03)3520000分機176,桃園市蘆竹區宏竹里大華街101號　,,,,,20181024
桃園市政府,蘆竹區,新莊里,新莊社區活動中心,蘆竹區公所社會課,(03)3520000分機176,桃園市蘆竹區新莊里中油街373號(社區教室),,,,,20181024
桃園市政府,蘆竹區,錦興里,錦興社區活動中心,蘆竹區公所社會課,(03)3520000分機176,桃園市蘆竹區錦興里南崁下41-5號　,,,,,20181024
桃園市政府,蘆竹區,新莊里,新莊社區活動中心,蘆竹區公所社會課,(03)3520000分機176,桃園市蘆竹區新莊里大新路417-5號,,,,,20181024
桃園市政府,蘆竹區,南興里,南興社區活動中心,蘆竹區公所社會課,(03)3520000分機176,桃園市蘆竹區南興里南竹路二段2巷31號　,,,,,20181024
桃園市政府,蘆竹區,坑口里,坑口社區活動中心,蘆竹區公所社會課,(03)3520000分機176,桃園市蘆竹區坑口里16鄰40-1號,,,,,20181024
桃園市政府,蘆竹區,山鼻里,山鼻社區活動中心,蘆竹區公所社會課,(03)3520000分機176,桃園市蘆竹區山鼻里南山路三段125號　,,,,,20181024
桃園市政府,蘆竹區,長興里,長興社區活動中心,蘆竹區公所社會課,(03)3520000分機176,桃園市蘆竹區長興里3鄰47-1號　,,,,,20181024
桃園市政府,蘆竹區,上竹里,上竹社區活動中心,蘆竹區公所社會課,(03)3520000分機176,桃園市蘆竹區上竹里博愛街22號,,,,,20181024
桃園市政府,蘆竹區,中福里,中福社區活動中心,蘆竹區公所社會課,(03)3520000分機176,桃園市蘆竹區中福里22鄰龍安街二段985號　,,,,,20181024
桃園市政府,蘆竹區,錦中里,錦中社區活動中心,蘆竹區公所社會課,(03)3520000分機176,桃園市蘆竹區錦中里錦溪路99號,,,,,20181024
桃園市政府,蘆竹區,山腳里,山腳社區活動中心,蘆竹區公所社會課,(03)3520000分機176,桃園市蘆竹區山腳里南山路3段357巷10號　,,,,,20181024
桃園市政府,蘆竹區,外社里,外社社區活動中心　,蘆竹區公所社會課,(03)3520000分機176,桃園市蘆竹區外社里山林路2段490號(老人會館),,,,,20181024
桃園市政府,蘆竹區,新興里,新興社區活動中心,蘆竹區公所社會課,(03)3520000分機176,桃園市蘆竹區新興里大竹路1巷336號,,,,,20181024
桃園市政府,蘆竹區,蘆竹里,蘆竹社區活動中心,蘆竹區公所社會課,(03)3520000分機176,桃園市蘆竹區蘆竹里蘆竹街12巷號(長壽俱樂部)　,,,,,20181024
桃園市政府,蘆竹區,長壽里,羊稠社區活動中心,蘆竹區公所社會課,(03)3520000分機176,桃園市蘆竹區長壽里仁愛路二段20號3樓,,,,,20181024
桃園市政府,蘆竹區,內厝里,內厝社區活動中心　,蘆竹區公所社會課,(03)3520000分機176,桃園市蘆竹區內厝里10鄰內溪路40號　,,,,,20181024
桃園市政府,蘆竹區,富竹里,富竹社區活動中心,蘆竹區公所社會課,(03)3520000分機176,桃園市蘆竹區富竹里富竹街109號,,,,,20181024
桃園市政府,蘆竹區,營福里,營盤社區活動中心,蘆竹區公所社會課,(03)3520000分機176,桃園市蘆竹區營福里中山路108巷21號　,,,,,20181024
桃園市政府,蘆竹區,海湖里,海湖社區活動中心　,蘆竹區公所社會課,(03)3520000分機176,桃園市蘆竹區海湖里海湖東路221號　,,,,,20181024
桃園市政府,蘆竹區,瓦窯里,瓦窯社區活動中心,蘆竹區公所社會課,(03)3520000分機176,桃園市蘆竹區瓦窯里仁愛路一段2號　,,,,,20181024
桃園市政府,蘆竹區,坑口里,坑口社區活動中心,蘆竹區公所社會課,(03)3520000分機176,桃園市蘆竹區南山北路二段378號,,,,,20181024
桃園市政府,蘆竹區,坑子里,坑子社區活動中心,蘆竹區公所社會課,(03)3520000分機176,桃園市蘆竹區坑子里2鄰13—1號　,,,,,20181024
桃園市政府,蘆竹區,蘆竹里,蘆竹社區活動中心,蘆竹區公所社會課,(03)3520000分機176,桃園市蘆竹區蘆竹里蘆竹街12巷7號　,,,,,20181024
桃園市政府,大園區,大園里,大園社區活動中心,大園區公所社會課,(03)3842494,桃園市大園區大園里33鄰和平東路89號(1樓),,,,,20181024
桃園市政府,大園區,溪海里,溪海社區活動中心,大園區公所社會課,(03)3842494,桃園市大園區溪海里7鄰崙頂7之1號,,,,,20181024
桃園市政府,大園區,橫峰里,橫峰社區活動中心,大園區公所社會課,(03)3842494,桃園市大園區橫峰里11鄰中正東路160號(2樓),,,,,20181024
桃園市政府,大園區,橫峰里,(頂)橫峰社區活動中心,大園區公所社會課,(03)3842494,桃園市大園區橫峰里25鄰中山南路二段435號,,,,,20181024
桃園市政府,大園區,五權里,五權社區活動中心,大園區公所社會課,(03)3842494,桃園市大園區五權里14鄰中正東路二段541號(2樓),,,,,20181024
桃園市政府,大園區,埔心里,埔心社區活動中心,大園區公所社會課,(03)3842494,桃園市大園區埔心里5鄰埔心街82之4號(2樓),,,,,20181024
桃園市政府,大園區,埔心里,三塊厝社區活動中心,大園區公所社會課,(03)3842494,桃園市大園區中正東路1段671巷23號,,,,,20181024
桃園市政府,大園區,大海里,大海社區活動中心,大園區公所社會課,(03)3842494,桃園市大園區大海里9鄰大牛稠28之11號,,,,,20181024
桃園市政府,大園區,大海里,建華社區活動中心,大園區公所社會課,(03)3842494,桃園市大園區大海里5鄰建國八村164號,,,,,20181024
桃園市政府,大園區,三石里,三石社區活動中心,大園區公所社會課,(03)3842494,桃園市大園區三石里1鄰三塊石7號,,,,,20181024
桃園市政府,大園區,三石里,三石社區活動中心,大園區公所社會課,(03)3842494,桃園市大園區三石里9鄰三和路5號(2樓),,,,,20181024
桃園市政府,大園區,竹圍里,竹圍社區活動中心,大園區公所社會課,(03)3842494,桃園市大園區竹圍里8鄰竹圍街90之6號,,,,,20181024
桃園市政府,大園區,海口里,海口社區活動中心,大園區公所社會課,(03)3842494,桃園市大園區海口里4鄰漁港路15號,,,,,20181024
桃園市政府,大園區,沙崙里,沙崙社區活動中心,大園區公所社會課,(03)3842494,桃園市大園區沙崙里12鄰沙崙41之3號,,,,,20181024
桃園市政府,大園區,后厝里,后厝社區活動中心,大園區公所社會課,(03)3842494,桃園市大園區后厝里12鄰中華路595號,,,,,20181024
桃園市政府,大園區,圳頭里,圳頭社區活動中心,大園區公所社會課,(03)3842494,桃園市大園區圳頭里濱海路二段432號,,,,,20181024
桃園市政府,大園區,北港里,北港社區活動中心,大園區公所社會課,(03)3842494,桃園市大園區北港里9鄰潮音二路226號,,,,,20181024
桃園市政府,大園區,內海里,內海社區活動中心,大園區公所社會課,(03)3842494,桃園市大園區內海里2鄰學府路11號,,,,,20181024
桃園市政府,大園區,內海里,內海社區活動中心,大園區公所社會課,(03)3842494,桃園市大園區內海里2鄰學府路15之1號,,,,,20181024
桃園市政府,觀音區,藍埔里,藍埔社區活動中心,觀音區公所社會課,(03)4732121分機125,桃園市觀音區藍埔里4鄰新華路1段711號,,,,,20181024
桃園市政府,觀音區,上大里,上大社區活動中心,觀音區公所社會課,(03)4732121分機125,桃園市觀音區上大里8鄰大湖路1段510號,,,,,20181024
桃園市政府,觀音區,保障里,保障社區活動中心,觀音區公所社會課,(03)4732121分機125,桃園市觀音區保障里10鄰草漯70-1號,,,,,20181024
桃園市政府,觀音區,塔腳里,塔腳社區活動中心,觀音區公所社會課,(03)4732121分機125,桃園市觀音區塔腳里4鄰塔子腳66-5號,,,,,20181024
桃園市政府,觀音區,大同里,大同社區活動中心,觀音區公所社會課,(03)4732121分機125,桃園市觀音區大同里11鄰新富路1段595號,,,,,20181024
桃園市政府,觀音區,武威里,武威社區活動中心,觀音區公所社會課,(03)4732121分機125,桃園市觀音區武威里4鄰塘背11-2號,,,,,20181024
桃園市政府,觀音區,白玉里,白玉社區活動中心,觀音區公所社會課,(03)4732121分機125,桃園市觀音區白玉里5鄰玉林路1段180號,,,,,20181024
桃園市政府,觀音區,廣興里,廣興社區活動中心,觀音區公所社會課,(03)4732121分機125,桃園市觀音區廣興里7鄰中山路1段413號,,,,,20181024
桃園市政府,觀音區,坑尾里,坑尾社區活動中心,觀音區公所社會課,(03)4732121分機125,桃園市觀音區坑尾里7鄰文化路坑尾段437號,,,,,20181024
桃園市政府,觀音區,新興里,新興社區活動中心,觀音區公所社會課,(03)4732121分機125,桃園市觀音區新興里7鄰文化路石橋段453號,,,,,20181024
桃園市政府,觀音區,三和里,三和社區活動中心,觀音區公所社會課,(03)4732121分機125,桃園市觀音區三和里5鄰橫圳頂40-2號,,,,,20181024
桃園市政府,觀音區,金湖里,金湖社區活動中心,觀音區公所社會課,(03)4732121分機125,桃園市觀音區金湖里6鄰金橋路育仁段550號,,,,,20181024
桃園市政府,觀音區,保生里,保生社區活動中心,觀音區公所社會課,(03)4732121分機125,桃園市觀音區保生里11鄰對面厝59-1號,,,,,20181024
桃園市政府,觀音區,草漯里,草漯社區活動中心,觀音區公所社會課,(03)4732121分機125,桃園市觀音區草漯里1鄰忠孝路82號,,,,,20181024
桃園市政府,觀音區,富林里,富林社區活動中心,觀音區公所社會課,(03)4732121分機125,桃園市觀音區富林里5鄰大觀路3段463號,,,,,20181024
桃園市政府,觀音區,富源里,富源社區活動中心,觀音區公所社會課,(03)4732121分機125,桃園市觀音區富源里3鄰富源39-20號,,,,,20181024
桃園市政府,觀音區,廣福里,廣福社區活動中心,觀音區公所社會課,(03)4732121分機125,桃園市觀音區廣福里13鄰福山路2段403巷6號,,,,,20181024
桃園市政府,觀音區,大潭里,大潭社區活動中心,觀音區公所社會課,(03)4732121分機125,桃園市觀音區大潭里16鄰保生3街61號,,,,,20181024
桃園市政府,觀音區,樹林里,樹林社區活動中心,觀音區公所社會課,(03)4732121分機125,桃園市觀音區樹林里9鄰泰安街209號,,,,,20181024
桃園市政府,觀音區,大堀里,大堀社區活動中心,觀音區公所社會課,(03)4732121分機125,桃園市觀音區大堀里7鄰新華路2段72號,,,,,20181024
桃園市政府,觀音區,廣福里,(舊)廣福社區活動中心,觀音區公所社會課,(03)4732121分機125,桃園市觀音區廣福里13鄰福山路2弄393號,,,,,20181024
桃園市政府,觀音區,崙坪里,(舊)崙坪社區活動中心,觀音區公所社會課,(03)4732121分機125,桃園市觀音區崙坪里8鄰忠愛路2段157號,,,,,20181024
桃園市政府,觀音區,三和里,(舊)三和社區活動中心,觀音區公所社會課,(03)4732121分機125,桃園市觀音區三和里3鄰26號,,,,,20181024
桃園市政府,觀音區,樹林里,(舊)樹林社區活動中心,觀音區公所社會課,(03)4732121分機125,桃園市觀音區樹林里3鄰樹林子44號,,,,,20181024
桃園市政府,觀音區,白玉里,(舊)白玉社區活動中心,觀音區公所社會課,(03)4732121分機125,桃園市觀音區白玉里12鄰玉林路1段281號,,,,,20181024
桃園市政府,觀音區,崙坪里,崙坪社區活動中心,觀音區公所社會課,(03)4732121分機125,桃園市觀音區崙坪里18鄰崙坪297-5號,,,,,20181024
桃園市政府,新屋區,頭洲里,頭洲社區活動中心,新屋區公所社會課,(03)4772111分機312,桃園市新屋區頭洲里中山東路2段668巷48號2樓,,,,,20181024
桃園市政府,新屋區,九斗里,九斗社區活動中心,新屋區公所社會課,(03)4772111分機312,桃園市新屋區九斗里長祥路1098號,,,,,20181024
桃園市政府,新屋區,埔頂里,埔頂社區活動中心,新屋區公所社會課,(03)4772111分機312,桃園市新屋區埔頂里2鄰34號,,,,,20181024
桃園市政府,新屋區,清華里,清華社區活動中心,新屋區公所社會課,(03)4772111分機312,桃園市新屋區清華里中山東路一段177巷229號4樓,,,,,20181024
桃園市政府,新屋區,新生里,新屋社區活動中心,新屋區公所社會課,(03)4772111分機312,桃園市新屋區新生里中山路267巷1號,,,,,20181024
桃園市政府,新屋區,新生里,新生社區活動中心,新屋區公所社會課,(03)4772111分機312,桃園市新屋區新生里中山路370號2樓,,,,,20181024
桃園市政府,新屋區,石磊里,石磊社區活動中心,新屋區公所社會課,(03)4772111分機312,桃園市新屋區石磊里三民路二段276號,,,,,20181024
桃園市政府,新屋區,後湖里,後湖社區活動中心,新屋區公所社會課,(03)4772111分機312,桃園市新屋區後湖里三民路一段68號,,,,,20181024
桃園市政府,新屋區,東明里,東明社區活動中心,新屋區公所社會課,(03)4772111分機312,桃園市新屋區東明里4鄰5號,,,,,20181024
桃園市政府,新屋區,社子里,社子社區活動中心,新屋區公所社會課,(03)4772111分機312,桃園市新屋區社子里7鄰3-1號,,,,,20181024
